時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
2022-08-01 09:00:00,90,85,80,40,20,5,0,0
2022-08-01 09:15:00,95,85,90,45,30,5,0,0
2022-08-01 09:30:00,95,85,90,50,30,15,0,0
2022-08-01 09:45:00,90,75,80,45,25,25,0,0
2022-08-01 10:00:00,80,60,80,45,35,35,10,5
2022-08-01 10:15:00,75,60,70,35,35,30,15,5
2022-08-01 10:30:00,65,50,55,35,35,25,20,20
2022-08-01 10:45:00,60,50,50,35,35,30,25,20
2022-08-01 11:00:00,60,45,60,40,35,30,25,20
2022-08-01 11:15:00,60,40,50,35,35,30,10,20
2022-08-01 11:30:00,60,40,50,35,35,25,15,20
2022-08-01 11:45:00,65,45,45,35,30,20,15,15
2022-08-01 12:00:00,70,60,45,35,30,20,20,15
2022-08-01 12:15:00,70,50,45,35,20,20,25,20
2022-08-01 12:30:00,60,50,45,40,15,25,15,15
2022-08-01 12:45:00,45,35,45,35,15,25,15,20
2022-08-01 13:00:00,45,55,45,30,15,25,15,20
2022-08-01 13:15:00,60,55,40,30,20,25,20,20
2022-08-01 13:30:00,70,50,40,25,20,20,20,20
2022-08-01 13:45:00,60,50,40,25,20,25,20,15
2022-08-01 14:00:00,60,50,40,30,20,25,25,20
2022-08-01 14:15:00,50,40,50,30,25,15,15,15
2022-08-01 14:30:00,50,50,50,30,35,20,15,30
2022-08-01 14:45:00,60,60,45,30,30,20,15,30
2022-08-01 15:00:00,65,60,50,30,20,20,20,20
2022-08-01 15:15:00,55,55,50,30,25,20,25,35
2022-08-01 15:30:00,55,50,45,20,20,10,25,20
2022-08-01 15:45:00,55,45,45,20,15,15,30,20
2022-08-01 16:00:00,55,45,40,20,15,25,15,30
2022-08-01 16:15:00,55,60,40,20,20,25,20,30
2022-08-01 16:30:00,60,60,45,20,20,20,25,30
2022-08-01 16:45:00,60,60,45,25,20,15,50,30
2022-08-01 17:00:00,55,55,40,25,15,15,35,30
2022-08-01 17:15:00,55,55,40,20,10,15,25,15
2022-08-01 17:30:00,50,45,40,25,5,15,25,20
2022-08-01 17:45:00,60,45,45,20,10,15,25,20
2022-08-01 18:00:00,70,65,45,20,20,15,15,20
2022-08-01 18:15:00,65,60,45,20,15,25,20,20
2022-08-01 18:30:00,60,55,50,20,15,20,20,20
2022-08-01 18:45:00,60,50,50,20,15,20,25,20
2022-08-01 19:00:00,60,40,45,20,10,20,25,15
2022-08-01 19:15:00,60,45,45,20,10,20,15,15
2022-08-01 19:30:00,60,55,55,20,5,15,15,20
2022-08-01 19:45:00,70,55,60,20,5,5,25,15
2022-08-01 20:00:00,0,0,60,20,5,10,0,20
2022-08-01 20:15:00,0,0,0,20,5,10,0,20
2022-08-01 20:30:00,0,0,0,20,5,10,0,20
2022-08-01 20:45:00,0,0,0,15,5,5,0,20
