日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2023-07-09,6593,661,"[5, 6, 4, 2, 5, 3, 3, 4, 3, 4, 7, 7, 4, 6, 4, 3]","[5, 6, 4, 2, 5, 3, 4, 3, 4, 7, 4, 6, 4, 3]","[0, 30, 60, 120, 180, 225, 285, 330, 390, 435, 495, 540, 585, 630]"
2023-07-09,7010,668,"[2, 6, 4, 4, 2, 4, 2, 5, 4, 6, 4, 5, 4, 5, 6, 6, 6, 5]","[2, 6, 4, 2, 4, 2, 5, 4, 6, 4, 5, 4, 5, 6, 5]","[0, 30, 60, 120, 180, 240, 285, 345, 390, 450, 495, 525, 570, 600, 660]"
2023-07-09,7013,658,"[4, 6, 6, 5, 7, 2, 6, 4, 4, 6, 7, 5, 2, 4, 5, 4, 5]","[4, 6, 5, 7, 2, 6, 4, 6, 7, 5, 2, 4, 5, 4, 5]","[0, 30, 60, 105, 180, 240, 285, 345, 390, 450, 495, 555, 585, 615, 645]"
2023-07-09,7030,667,"[2, 5, 6, 2, 3, 2, 3, 2, 3, 4, 3, 5, 4, 2, 5, 5]","[2, 5, 6, 2, 3, 2, 3, 2, 3, 4, 3, 5, 4, 2, 5]","[0, 30, 60, 105, 165, 225, 270, 330, 375, 450, 480, 540, 570, 615, 645]"
2023-07-09,6538,673,"[6, 6, 4, 3, 5, 2, 7, 5, 2, 5, 4, 3, 3, 6, 4, 5]","[6, 4, 3, 5, 2, 7, 5, 2, 5, 4, 3, 6, 4, 5]","[0, 45, 105, 180, 225, 270, 345, 390, 450, 495, 540, 585, 630, 660]"
2023-07-09,6550,672,"[2, 3, 2, 4, 5, 3, 3, 5, 7, 4, 5, 5, 2, 6, 5, 4]","[2, 3, 2, 4, 5, 3, 5, 7, 4, 5, 2, 6, 5, 4]","[0, 30, 105, 165, 210, 255, 315, 360, 450, 480, 525, 570, 630, 660]"
2023-07-09,6574,650,"[0, 7, 6, 4, 2, 5, 5, 4, 4, 2, 2, 2, 3, 5, 3, 3, 5, 4, 2]","[0, 7, 6, 4, 2, 5, 4, 2, 3, 5, 3, 5, 4, 2]","[0, 30, 90, 150, 210, 255, 300, 345, 405, 465, 495, 555, 585, 615]"
2023-07-09,7501,666,"[4, 6, 7, 4, 5, 3, 4, 6, 4, 6, 5, 4, 5, 4, 4, 5, 4]","[4, 6, 7, 4, 5, 3, 4, 6, 4, 6, 5, 4, 5, 4, 5, 4]","[0, 30, 60, 135, 180, 225, 285, 330, 390, 435, 495, 525, 570, 600, 630, 645]"
2023-07-09,6589,669,"[1, 4, 6, 4, 5, 4, 3, 6, 3, 6, 6, 3, 4, 2, 4]","[1, 4, 6, 4, 5, 4, 3, 6, 3, 6, 3, 4, 2, 4]","[0, 30, 75, 135, 180, 225, 285, 330, 405, 450, 525, 585, 615, 660]"
2023-07-09,6526,649,"[5, 6, 2, 4, 3, 5, 5, 2, 6, 2, 3, 2, 2, 5, 4, 5]","[5, 6, 2, 4, 3, 5, 2, 6, 2, 3, 2, 5, 4, 5]","[0, 30, 60, 150, 195, 285, 330, 375, 420, 480, 525, 585, 615, 630]"
